region,code,2021_65 ans et plus,2021_moins de 65 ans,2022_65 ans et plus,2022_moins de 65 ans,2023_65 ans et plus,2023_moins de 65 ans,2024_65 ans et plus,2024_moins de 65 ans
11 - ILE-DE-France,11,3071.0,204.0,3518.0,266.0,3593.0,262.0,3930.0,320.0
24 - CENTRE-VAL-DE-LOIRE,24,2585.0,214.0,3332.0,276.0,3388.0,293.0,3741.0,347.0
27 - BOURGOGNE-FRANCHE-COMTE,27,2238.0,183.0,2660.0,225.0,2825.0,232.0,3109.0,277.0
28 - NORMANDIE,28,2743.0,244.0,3234.0,314.0,3517.0,327.0,3882.0,396.0
32 - HAUTS-DE-France,32,2063.0,208.0,2462.0,251.0,2659.0,259.0,2998.0,316.0
44 - GRAND-EST,44,2267.0,190.0,2682.0,233.0,2892.0,249.0,3246.0,304.0
52 - PAYS-DE-LA-LOIRE,52,2381.0,185.0,2927.0,258.0,3164.0,274.0,3624.0,342.0
53 - BRETAGNE,53,2428.0,205.0,2999.0,294.0,3305.0,313.0,3747.0,390.0
75 - NOUVELLE-AQUITAINE,75,2413.0,203.0,2801.0,252.0,3019.0,257.0,3367.0,319.0
76 - OCCITANIE,76,2528.0,197.0,2917.0,240.0,3030.0,242.0,3400.0,299.0
84 - AUVERGNE-RHONE-ALPES,84,2244.0,164.0,2630.0,210.0,2758.0,222.0,3116.0,274.0
93 - PROVENCE-ALPES-COTES-D'AZUR,93,2236.0,160.0,2585.0,202.0,2719.0,204.0,3122.0,262.0
94 - CORSE,94,917.0,79.0,1055.0,83.0,1195.0,89.0,1539.0,138.0
