region,code,Actes_2021,Actes_2022,Actes_2023,Actes_2024,Evolution_2021-2024,Evolution_%
11 - ILE-DE-France,11,3275,3784,3855,4250,975,29.77
24 - CENTRE-VAL-DE-LOIRE,24,2799,3608,3681,4088,1289,46.05
27 - BOURGOGNE-FRANCHE-COMTE,27,2421,2885,3057,3386,965,39.86
28 - NORMANDIE,28,2987,3548,3844,4278,1291,43.22
32 - HAUTS-DE-France,32,2271,2713,2918,3314,1043,45.93
44 - GRAND-EST,44,2457,2915,3141,3550,1093,44.49
52 - PAYS-DE-LA-LOIRE,52,2566,3185,3438,3966,1400,54.56
53 - BRETAGNE,53,2633,3293,3618,4137,1504,57.12
75 - NOUVELLE-AQUITAINE,75,2616,3053,3276,3686,1070,40.9
76 - OCCITANIE,76,2725,3157,3272,3699,974,35.74
84 - AUVERGNE-RHONE-ALPES,84,2408,2840,2980,3390,982,40.78
93 - PROVENCE-ALPES-COTES-D'AZUR,93,2396,2787,2923,3384,988,41.24
94 - CORSE,94,996,1138,1284,1677,681,68.37
