code_postal,nombre_pharmacies,population
1000,4,47588.0
1100,2,33441.0
1110,1,6458.0
1140,1,9267.0
1150,2,18696.0
1170,1,28272.0
1210,3,17747.0
1230,1,5232.0
1250,1,17020.0
1270,1,4100.0
1280,1,9063.0
1300,2,21540.0
1320,1,6558.0
1330,1,9192.0
1350,1,6371.0
1360,1,10485.0
1390,2,12867.0
1400,1,11580.0
1440,1,6808.0
1460,2,10447.0
1480,2,19332.0
1500,3,25581.0
1540,1,4916.0
1560,1,6359.0
1600,1,24645.0
1630,1,23221.0
1700,1,21795.0
1750,1,7376.0
2000,2,33968.0
2100,6,60300.0
2110,2,15321.0
2120,3,11841.0
2130,1,7755.0
2190,1,8205.0
2200,3,48233.0
2220,2,8281.0
2230,1,2934.0
2270,1,7932.0
2300,1,26978.0
2310,1,10779.0
2380,1,2874.0
2400,2,30494.0
2430,1,5204.0
2500,3,14891.0
2520,1,1661.0
2840,1,5593.0
3000,2,27174.0
3200,1,30621.0
3220,1,4237.0
3240,1,3713.0
3250,2,4099.0
3300,1,19415.0
3320,1,3863.0
3350,1,2458.0
3400,2,14996.0
3420,1,2568.0
3430,1,3821.0
3450,1,2502.0
3500,1,11284.0
4100,2,22926.0
4120,1,2506.0
4220,1,4743.0
4250,1,1848.0
4270,1,2377.0
4300,1,9952.0
4400,1,4733.0
5000,4,44771.0
5140,1,1999.0
5200,1,10479.0
5230,1,6862.0
5250,1,895.0
5800,1,1830.0
6000,16,348085.0
6100,4,348085.0
6110,4,41597.0
6130,3,48323.0
6140,3,24033.0
6150,3,73255.0
6190,2,12371.0
6200,3,348085.0
6210,2,21561.0
6220,3,28025.0
6240,1,12674.0
6250,2,19677.0
6300,9,348085.0
6340,2,16799.0
6370,1,10531.0
6400,5,73255.0
6440,1,9524.0
6460,1,4594.0
6480,2,8084.0
6500,4,34797.0
6510,1,19973.0
6530,1,17854.0
6550,1,5436.0
6560,2,12754.0
6600,1,75130.0
6650,1,6550.0
6660,1,1445.0
6700,4,30941.0
6790,1,2300.0
6800,4,52580.0
6830,1,3050.0
7120,1,6530.0
7150,1,6094.0
7200,2,32745.0
7270,1,6097.0
7300,2,18642.0
7320,1,3521.0
7380,1,6279.0
7400,2,15641.0
7600,1,5317.0
7700,1,14017.0
7800,2,15344.0
8000,3,55137.0
8120,1,5006.0
8150,1,7600.0
8170,3,5766.0
8190,1,5606.0
8200,2,24578.0
8240,1,2481.0
8270,1,4082.0
8300,1,18980.0
8320,1,4500.0
8400,1,9506.0
8440,1,5230.0
8600,1,9538.0
9100,2,28361.0
9240,1,2304.0
9400,1,8491.0
9500,1,6957.0
9600,1,6326.0
10000,4,62782.0
10120,1,16647.0
10150,1,13452.0
10170,1,4690.0
10200,1,9957.0
10230,1,2021.0
10250,1,2199.0
10280,1,2020.0
10300,2,11895.0
10320,1,4260.0
10350,1,2990.0
10400,1,14365.0
10500,3,8415.0
10700,1,7650.0
11000,6,47154.0
11100,4,58654.0
11160,2,6853.0
11250,1,5593.0
11260,1,3028.0
11290,2,7036.0
11400,2,22118.0
11490,1,1305.0
11700,2,10103.0
12000,3,41576.0
12100,2,25259.0
12130,2,3383.0
12190,1,2046.0
12200,2,19187.0
12210,1,3965.0
12230,1,5017.0
12340,1,5630.0
12350,1,3379.0
12390,1,5604.0
12400,1,11413.0
12450,1,10566.0
12460,1,1786.0
12500,2,7426.0
12510,1,6691.0
12600,1,2851.0
12850,1,13628.0
13000,57,873076.0
13090,1,147478.0
13100,3,151812.0
13110,1,16136.0
13113,1,2046.0
13119,1,3501.0
13124,1,5613.0
13127,4,35532.0
13130,2,13912.0
13140,3,26405.0
13150,2,17165.0
13160,1,16669.0
13170,3,22161.0
13180,1,10083.0
13190,1,21490.0
13200,7,50415.0
13270,1,15469.0
13310,1,13729.0
13330,1,11404.0
13340,2,12175.0
13380,2,11396.0
13420,1,6794.0
13460,1,2120.0
13470,1,6747.0
13500,2,48568.0
13530,1,10678.0
13540,2,147478.0
13560,2,6838.0
13570,1,4236.0
13600,5,41800.0
13700,3,39651.0
13710,1,10115.0
13740,1,5194.0
13790,2,11216.0
13800,1,44577.0
13890,1,3414.0
13980,1,2764.0
14000,5,108200.0
14100,3,32996.0
14117,1,932.0
14123,2,22454.0
14200,3,22227.0
14210,1,21992.0
14240,1,7828.0
14260,1,17367.0
14320,1,11968.0
14330,1,9316.0
14340,1,16283.0
14360,2,4622.0
14400,3,27282.0
14402,1,12775.0
14410,1,5699.0
14430,1,6242.0
14470,1,5474.0
14500,1,17690.0
14600,2,14650.0
14610,1,11773.0
14630,1,4662.0
14640,1,3169.0
14700,2,14252.0
14760,1,4148.0
14800,1,10157.0
14860,1,5961.0
14970,1,3137.0
15000,5,30137.0
15100,1,13668.0
15130,2,18633.0
15140,1,3080.0
15200,1,5856.0
15250,2,9633.0
15260,1,1704.0
15270,1,2648.0
16000,4,41086.0
16100,3,28044.0
16130,2,9864.0
16200,1,15267.0
16210,1,4971.0
16240,1,3911.0
16270,1,4732.0
16300,1,11016.0
16330,1,5020.0
16340,1,5662.0
16370,1,3138.0
16410,1,9017.0
16430,1,7633.0
16470,1,3224.0
16600,3,13868.0
16700,2,9805.0
16710,1,7525.0
16730,1,6873.0
17000,11,78535.0
17100,1,34716.0
17110,2,5170.0
17120,1,12074.0
17140,1,7387.0
17170,1,12293.0
17200,7,22416.0
17220,3,25969.0
17230,1,14271.0
17270,1,6041.0
17310,1,6627.0
17340,1,7732.0
17350,1,6177.0
17400,1,15653.0
17480,1,4319.0
17500,1,11881.0
17520,1,6220.0
17600,3,25758.0
17610,1,5710.0
17620,1,9026.0
17700,1,16791.0
17730,1,1761.0
17770,1,10288.0
17780,1,5830.0
18000,5,63702.0
18100,1,27912.0
18110,2,12157.0
18120,2,7534.0
18130,1,6014.0
18140,1,5395.0
18200,3,16214.0
18260,1,3179.0
18290,1,3512.0
18300,1,8924.0
18330,1,2985.0
18340,1,7843.0
18390,2,7797.0
18500,2,15239.0
18510,1,1614.0
18520,1,3483.0
19000,2,14118.0
19100,2,46599.0
19120,1,4970.0
19230,1,3694.0
19300,1,7651.0
19350,1,2231.0
19360,1,12196.0
19410,1,3673.0
19460,1,2337.0
20000,3,73822.0
20090,5,73822.0
20110,1,4945.0
20118,1,1733.0
20167,1,91202.0
20170,1,1910.0
20200,8,56901.0
20214,1,3632.0
20215,1,5446.0
20222,1,1580.0
20260,1,9526.0
20270,1,3792.0
20290,1,17766.0
20600,1,54800.0
21000,11,159346.0
21110,2,24390.0
21120,1,12610.0
21121,1,14227.0
21160,1,9528.0
21200,2,27612.0
21220,2,8767.0
21240,1,11894.0
21250,2,8598.0
21300,1,14445.0
21310,1,9647.0
21330,1,2398.0
21350,1,3061.0
21380,1,5257.0
21400,1,10409.0
21420,1,2194.0
21520,1,1241.0
21540,1,3925.0
21800,3,25004.0
21850,1,7490.0
21910,1,4741.0
22000,6,44224.0
22100,1,38126.0
22120,2,15273.0
22130,2,13869.0
22140,1,11572.0
22200,1,21416.0
22210,2,7197.0
22220,2,6464.0
22250,1,8399.0
22260,1,5556.0
22270,1,5433.0
22300,1,33296.0
22310,1,4764.0
22370,1,4063.0
22400,1,26604.0
22440,3,14902.0
22480,1,3912.0
22500,1,7838.0
22530,1,3442.0
22550,1,5273.0
22560,2,7570.0
22600,1,17062.0
22610,1,2993.0
22620,1,3040.0
22700,1,11545.0
22800,1,12536.0
22860,1,2263.0
22980,1,5794.0
23000,2,22532.0
23170,1,3242.0
23200,1,7043.0
23250,1,2852.0
23300,1,8889.0
23460,1,1495.0
23700,1,3885.0
23800,1,4306.0
24000,4,29516.0
24002,1,40213.0
24100,5,30314.0
24120,1,10729.0
24150,1,8278.0
24160,1,5141.0
24190,1,7350.0
24200,1,14897.0
24220,1,6207.0
24260,1,6161.0
24380,1,12166.0
24390,1,3289.0
24400,2,10962.0
24430,1,9241.0
24440,1,2986.0
24460,1,10322.0
24550,1,2132.0
24610,2,3566.0
24640,1,5830.0
24660,1,11919.0
24680,1,4331.0
24700,2,12781.0
24750,3,26358.0
24800,1,9551.0
25000,8,119198.0
25120,1,5462.0
25200,5,36738.0
25220,2,10053.0
25260,1,5742.0
25300,2,30890.0
25350,1,4731.0
25360,1,5533.0
25370,1,6695.0
25420,1,7539.0
25460,1,3715.0
25480,1,7474.0
25490,1,5280.0
25500,1,14430.0
25570,1,1506.0
25600,2,9488.0
25620,1,11644.0
25700,1,12913.0
25800,1,6652.0
25840,1,709.0
25870,1,11972.0
26000,8,64483.0
26100,4,32911.0
26130,1,12428.0
26150,1,6835.0
26200,2,41758.0
26230,1,4647.0
26240,1,13558.0
26260,1,11704.0
26300,3,30745.0
26330,1,2801.0
26390,1,2246.0
26400,2,24913.0
26420,1,2076.0
26540,1,3385.0
26700,1,14935.0
26750,1,8892.0
26800,1,19611.0
27120,1,16060.0
27130,1,9783.0
27140,1,13362.0
27200,2,24543.0
27210,1,13632.0
27230,1,6722.0
27270,1,9707.0
27380,1,8535.0
27400,1,32770.0
27470,1,2528.0
27500,2,21898.0
27580,1,1489.0
27610,1,3247.0
27630,1,6448.0
27670,1,5548.0
27690,1,1999.0
27750,1,2306.0
27800,2,11611.0
27810,1,1588.0
27910,1,3687.0
27950,1,9175.0
28000,4,38447.0
28120,1,11673.0
28140,1,6457.0
28160,1,8890.0
28210,1,14400.0
28220,1,5609.0
28230,1,6744.0
28260,1,11987.0
28270,1,5528.0
28300,3,34369.0
28320,1,7072.0
28330,1,4129.0
28350,1,4817.0
28360,1,5566.0
28400,2,13521.0
28500,1,27741.0
28800,2,10907.0
29000,5,63642.0
29120,2,18910.0
29140,2,15360.0
29160,1,9276.0
29190,1,8051.0
29200,8,139619.0
29242,1,838.0
29260,2,21356.0
29270,2,11837.0
29280,1,18611.0
29290,2,14846.0
29300,3,24491.0
29334,1,63642.0
29400,1,20125.0
29410,2,10766.0
29460,1,12095.0
29480,1,11791.0
29500,1,8553.0
29510,1,11639.0
29600,3,25218.0
29620,1,4371.0
29650,1,7477.0
29730,2,5106.0
29760,1,5130.0
29770,1,6882.0
29780,2,3932.0
29790,1,4472.0
29800,1,32789.0
29830,1,12712.0
29860,1,19452.0
29900,3,20607.0
29910,1,7050.0
30000,6,148104.0
30100,2,43892.0
30110,1,10566.0
30120,1,8243.0
30128,1,5106.0
30129,1,11290.0
30150,2,11082.0
30170,1,6939.0
30190,2,18269.0
30200,1,27878.0
30210,1,16803.0
30230,2,9013.0
30240,1,8438.0
30250,2,15660.0
30300,1,25346.0
30320,2,17026.0
30360,1,7497.0
30400,1,12617.0
30430,1,4259.0
30560,2,4616.0
30620,1,10497.0
30650,1,10025.0
30820,1,4351.0
30840,1,2572.0
30900,4,148104.0
30920,1,2458.0
31000,5,504078.0
31100,8,504078.0
31170,2,29439.0
31190,1,18554.0
31200,3,504078.0
31240,1,23601.0
31270,7,40167.0
31280,1,5738.0
31290,2,14319.0
31300,3,504078.0
31320,3,26516.0
31340,1,12659.0
31370,1,10873.0
31400,7,504078.0
31450,1,24247.0
31480,1,4640.0
31500,2,504078.0
31520,3,14949.0
31550,1,4670.0
31570,1,8795.0
31590,1,6082.0
31600,7,53643.0
31620,3,26709.0
31650,1,17003.0
31660,1,7047.0
31700,4,50474.0
31750,1,6986.0
31770,2,40159.0
31780,1,10876.0
31800,6,22105.0
31820,2,8678.0
31840,1,10731.0
31880,2,8524.0
32000,1,23041.0
32100,1,8630.0
32150,1,2180.0
32190,1,7002.0
32290,1,2034.0
32300,1,8962.0
32450,1,2853.0
32600,2,15363.0
32800,2,5501.0
33000,8,261804.0
33100,1,261804.0
33110,2,24339.0
33112,1,4940.0
33120,4,11259.0
33130,2,30813.0
33138,1,7276.0
33140,2,47171.0
33160,3,41348.0
33170,1,25835.0
33190,3,15325.0
33200,1,261804.0
33210,2,24831.0
33220,2,15384.0
33240,3,38152.0
33250,1,9234.0
33260,3,26556.0
33270,1,21522.0
33300,2,261804.0
33310,2,23291.0
33320,2,35101.0
33340,2,14777.0
33350,2,14105.0
33360,1,16151.0
33370,2,28077.0
33380,1,27931.0
33390,1,17209.0
33400,1,45225.0
33410,1,9678.0
33430,1,9977.0
33440,2,19939.0
33470,2,31403.0
33480,1,16462.0
33500,2,29322.0
33520,1,20215.0
33560,2,13225.0
33570,1,5872.0
33600,3,66760.0
33610,1,22705.0
33650,1,22392.0
33680,1,9594.0
33700,3,75729.0
33720,1,14320.0
33740,1,6441.0
33790,1,2092.0
33800,2,261804.0
33820,1,9472.0
33850,3,10708.0
34000,4,302454.0
34070,1,302454.0
34080,2,302454.0
34090,1,302454.0
34110,1,30526.0
34130,2,30947.0
34150,1,14723.0
34160,2,27083.0
34170,2,24888.0
34200,5,44712.0
34230,1,19106.0
34260,1,4519.0
34270,1,13944.0
34280,2,25169.0
34340,1,7643.0
34350,1,6903.0
34420,1,9880.0
34450,1,5882.0
34480,1,12198.0
34500,5,84439.0
34540,2,9792.0
34560,1,13145.0
34570,1,20087.0
34600,1,11148.0
34620,1,3020.0
34670,3,11113.0
34690,1,7197.0
34700,1,13241.0
34800,1,22037.0
34830,2,12634.0
34970,1,17544.0
34990,1,12783.0
35000,11,225081.0
35120,2,18810.0
35131,1,12572.0
35135,1,10232.0
35137,2,8379.0
35150,1,21616.0
35160,1,15685.0
35170,2,19651.0
35190,1,15322.0
35200,3,225081.0
35220,1,11935.0
35230,1,23419.0
35250,1,15216.0
35270,1,11639.0
35300,1,20653.0
35310,1,23227.0
35330,1,9105.0
35340,1,15057.0
35360,2,12466.0
35370,1,13829.0
35400,2,47323.0
35410,1,17873.0
35420,1,8184.0
35430,1,10247.0
35450,1,6841.0
35460,1,13232.0
35470,1,11345.0
35480,1,8271.0
35500,2,30770.0
35510,4,17716.0
35520,1,18792.0
35540,1,8361.0
35560,1,8222.0
35580,1,23202.0
35600,1,15080.0
35680,1,11035.0
35720,1,7217.0
35730,1,6953.0
35740,1,11918.0
35750,1,6194.0
35760,1,13529.0
35770,1,8233.0
35800,1,14952.0
35830,2,12695.0
35850,1,15161.0
35890,1,8489.0
36000,5,42968.0
36130,1,10925.0
36140,1,3256.0
36260,1,4022.0
36290,1,3031.0
36400,2,11531.0
36500,1,10592.0
36700,1,4834.0
37000,6,137658.0
37100,2,137658.0
37110,2,13469.0
37120,1,6697.0
37150,1,13785.0
37160,1,7123.0
37170,1,11589.0
37190,1,11415.0
37210,1,14193.0
37220,1,5942.0
37250,1,14102.0
37270,3,27342.0
37300,3,38183.0
37390,1,16949.0
37400,1,13803.0
37460,1,5601.0
37500,1,14861.0
37520,2,10325.0
37540,1,17004.0
37550,2,15000.0
37600,2,15040.0
37800,1,12784.0
38000,4,157477.0
38080,1,22430.0
38090,1,24821.0
38100,6,157477.0
38120,3,21005.0
38130,2,36849.0
38140,1,23189.0
38150,1,26300.0
38170,2,11753.0
38180,1,7997.0
38190,3,18813.0
38200,1,45025.0
38220,1,13590.0
38230,2,29214.0
38240,1,18573.0
38300,5,54891.0
38320,2,16663.0
38330,1,17857.0
38340,1,10816.0
38360,1,14370.0
38400,2,38454.0
38430,2,11147.0
38460,1,21735.0
38470,2,11725.0
38480,1,8055.0
38490,1,16453.0
38500,2,31753.0
38510,1,15977.0
38550,2,19380.0
38560,2,7242.0
38570,2,13314.0
38620,1,7371.0
38630,1,10065.0
38670,1,6372.0
38690,1,15965.0
38700,2,11988.0
38730,1,6808.0
38790,1,8350.0
38800,1,12211.0
38950,1,6733.0
39000,2,17043.0
39100,8,35854.0
39120,2,10395.0
39160,1,4049.0
39260,1,4755.0
39300,3,16213.0
39320,1,2289.0
39400,1,13997.0
39700,1,11837.0
40000,2,30674.0
40110,1,8683.0
40120,1,6734.0
40150,1,5727.0
40160,1,10431.0
40170,1,5509.0
40200,1,12502.0
40280,1,14395.0
40300,1,15002.0
40320,1,6636.0
40410,1,4312.0
40440,1,5855.0
40800,1,7341.0
40990,1,22151.0
41000,2,52875.0
41100,1,32842.0
41120,1,20422.0
41130,1,10475.0
41140,1,5592.0
41160,1,10558.0
41200,3,24381.0
41230,1,5222.0
41300,1,10430.0
41310,1,4501.0
41400,4,20539.0
41800,2,9354.0
42000,3,172718.0
42100,6,172718.0
42110,1,18863.0
42120,1,14195.0
42152,1,4845.0
42153,1,11045.0
42160,1,16981.0
42170,1,16487.0
42190,1,7782.0
42210,1,15291.0
42240,2,11960.0
42270,1,6164.0
42300,3,47314.0
42320,1,10697.0
42330,1,13577.0
42380,1,8083.0
42500,1,12066.0
42520,2,7488.0
42560,1,5297.0
42570,1,3686.0
42580,1,4251.0
42600,1,32299.0
42700,3,17137.0
42740,1,6394.0
42750,1,2148.0
42810,1,1422.0
42840,1,1517.0
43000,2,26911.0
43110,1,6171.0
43140,1,5771.0
43210,1,5944.0
43320,1,4710.0
43330,2,4338.0
43500,1,5494.0
43590,1,2971.0
43620,1,3400.0
43700,1,15431.0
43770,1,2463.0
44000,3,323204.0
44100,1,323204.0
44110,1,21188.0
44115,1,15513.0
44119,1,16989.0
44120,3,26002.0
44140,1,19767.0
44170,1,13965.0
44190,1,23503.0
44200,3,323204.0
44210,1,17910.0
44220,1,23057.0
44230,3,28283.0
44250,2,14411.0
44300,8,323204.0
44320,2,20816.0
44330,1,20612.0
44340,1,20410.0
44350,2,18999.0
44360,1,20054.0
44380,2,12121.0
44390,2,23457.0
44400,2,42998.0
44410,3,18503.0
44420,1,9492.0
44440,2,9416.0
44450,1,14710.0
44460,1,8012.0
44470,2,34605.0
44500,3,16468.0
44510,1,4005.0
44520,1,6091.0
44530,2,11221.0
44560,2,5651.0
44600,3,72057.0
44640,1,17378.0
44680,2,19400.0
44690,1,14474.0
44700,3,27872.0
44730,1,5324.0
44770,1,5701.0
44800,1,49537.0
44830,3,10955.0
44850,2,16715.0
44880,2,8512.0
44980,1,15527.0
45000,4,116617.0
45100,1,116617.0
45110,2,11583.0
45120,1,18526.0
45130,1,18395.0
45140,2,31936.0
45150,1,8221.0
45190,1,11975.0
45200,1,29241.0
45260,1,7699.0
45270,1,6721.0
45300,2,34313.0
45310,1,5708.0
45320,1,6379.0
45360,1,4365.0
45370,1,8979.0
45380,2,14265.0
45390,1,6813.0
45400,3,26280.0
45560,2,7654.0
45570,1,4003.0
45600,1,9698.0
45650,2,9379.0
45680,1,3263.0
45700,2,17263.0
45730,1,2005.0
45770,1,16679.0
45800,2,22200.0
46000,1,20141.0
46100,3,18304.0
46130,1,9237.0
46160,1,2992.0
46170,1,3921.0
46200,1,6806.0
46220,1,2779.0
46260,1,3163.0
46300,1,8475.0
46310,1,2018.0
46320,1,3395.0
46500,1,8782.0
47000,4,32485.0
47110,2,8904.0
47120,1,6000.0
47200,2,26317.0
47230,2,6745.0
47300,2,30273.0
47310,1,14338.0
47320,1,3986.0
47350,1,4053.0
47550,1,5723.0
48100,1,10389.0
48140,1,1765.0
48200,1,7123.0
48300,1,3962.0
48320,1,1799.0
48400,1,3788.0
49000,4,161650.0
49100,9,157175.0
49120,2,21386.0
49123,1,4526.0
49124,1,12082.0
49130,1,16500.0
49140,1,38511.0
49240,1,14938.0
49250,1,38884.0
49260,1,13312.0
49270,1,32464.0
49280,1,14605.0
49300,3,53936.0
49320,1,25292.0
49330,1,13279.0
49380,1,9744.0
49400,3,35990.0
49450,1,49445.0
49490,1,5634.0
49600,3,39394.0
49610,1,16178.0
49650,1,4990.0
49670,1,21386.0
49690,1,1547.0
49700,1,15693.0
49800,4,32622.0
50000,2,21623.0
50100,6,77808.0
50110,1,81185.0
50130,1,77808.0
50180,1,7027.0
50210,1,8596.0
50220,1,9261.0
50250,1,10155.0
50300,1,19683.0
50330,1,6426.0
50350,1,3103.0
50360,1,4010.0
50400,2,15617.0
50470,2,79431.0
50500,2,14218.0
50600,2,10304.0
50630,1,3647.0
50690,1,18535.0
50700,1,15647.0
50890,1,4106.0
51000,4,43877.0
51100,16,179380.0
51150,1,14375.0
51200,1,22001.0
51210,1,7364.0
51230,2,6333.0
51250,1,2615.0
51300,1,27674.0
51400,1,10917.0
51430,1,14563.0
51470,1,5989.0
51700,1,10576.0
51800,2,9838.0
52000,1,28808.0
52100,2,30237.0
52130,1,7013.0
52150,1,2797.0
52170,1,3707.0
52200,1,11979.0
52260,1,1919.0
52300,1,8835.0
52320,1,2743.0
52400,1,5008.0
52500,1,4218.0
52600,1,6864.0
53000,3,49657.0
53100,1,19073.0
53160,1,5061.0
53170,1,8699.0
53200,3,26136.0
53210,1,5120.0
53220,1,4341.0
53240,1,9706.0
53400,2,7663.0
53410,1,10270.0
53440,1,5266.0
53940,2,11338.0
53970,1,7000.0
54000,6,104260.0
54113,1,3188.0
54120,2,7683.0
54140,1,9374.0
54200,4,30993.0
54230,1,11937.0
54240,1,6560.0
54250,1,6594.0
54270,1,8782.0
54280,1,9383.0
54300,4,27196.0
54360,1,9789.0
54410,1,6551.0
54420,1,4835.0
54430,1,3793.0
54500,1,29537.0
54520,1,14671.0
54560,1,5160.0
54580,1,4139.0
54600,1,14761.0
54620,1,3701.0
54680,1,2244.0
54710,1,8283.0
54760,1,4267.0
54790,1,7996.0
54800,3,19185.0
54830,1,2202.0
54920,1,2629.0
54930,1,1319.0
55000,4,29534.0
55120,1,5014.0
55150,1,3494.0
55200,2,11810.0
55210,1,4040.0
55270,1,1908.0
55400,2,7563.0
55500,1,9116.0
55800,1,7117.0
55840,1,3179.0
56000,2,54420.0
56100,4,57846.0
56110,1,5132.0
56130,2,18564.0
56150,2,9252.0
56170,1,5004.0
56190,1,16304.0
56220,1,11602.0
56230,1,13518.0
56240,1,11601.0
56270,2,18591.0
56300,2,22787.0
56310,1,10998.0
56320,1,6414.0
56340,2,6484.0
56370,1,10214.0
56390,1,13166.0
56400,1,42534.0
56450,1,15159.0
56500,1,23632.0
56510,1,2236.0
56520,1,11947.0
56550,1,7341.0
56570,1,4075.0
56600,2,23026.0
56640,1,2269.0
56650,1,6571.0
56670,1,5772.0
56680,1,6034.0
56700,3,28682.0
56740,1,1557.0
56800,2,22589.0
56870,1,5507.0
56890,3,20429.0
56910,1,3501.0
57000,2,120874.0
57050,1,133210.0
57070,1,126394.0
57100,3,45173.0
57120,1,11175.0
57130,1,11400.0
57155,1,9971.0
57160,1,11739.0
57190,1,11869.0
57230,1,8654.0
57290,3,18972.0
57300,1,17609.0
57390,1,9446.0
57440,1,7398.0
57455,1,1717.0
57470,1,6946.0
57510,1,10519.0
57535,1,7038.0
57600,1,27844.0
57630,1,2377.0
57645,1,4917.0
57780,1,2485.0
57790,1,2280.0
57800,1,19122.0
57840,1,3260.0
57950,2,21854.0
58000,4,38059.0
58110,1,4174.0
58140,1,3619.0
58470,1,2197.0
58500,1,5741.0
58600,2,7722.0
58640,1,9180.0
58800,1,4123.0
59000,5,236710.0
59100,3,98892.0
59110,1,22488.0
59113,2,12834.0
59117,1,5299.0
59118,2,10798.0
59119,1,7354.0
59120,2,23013.0
59123,1,5960.0
59126,3,8192.0
59128,1,5642.0
59130,5,27121.0
59131,1,4043.0
59135,1,6927.0
