Région,Population_totale,Passages_urgences_total_estimé,Taux_passages_pour_100k_hab,Taux_pauvreté_%,Passages_pour_1000_hab
Corse,347597.0,2271.0,653.3937913620927,18.1,6.53
Hauts-de-France,5995292.0,34801.0,580.4769059178859,18.0,5.8
Occitanie,6022176.0,24695.0,410.0731137762188,17.5,4.1
Provence-Alpes-Côte d'Azur,5127840.0,36369.0,709.2478942653535,17.4,7.09
Île-de-France,12317128.0,99898.0,811.0512633953878,16.1,8.11
Grand Est,5561150.0,31263.0,562.1624368374274,15.1,5.62
Nouvelle-Aquitaine,6067387.0,28186.0,464.5545163000516,13.8,4.65
Normandie,3327966.0,18980.0,570.3309489539052,13.7,5.7
Centre-Val de Loire,2573269.0,11044.0,429.1725214325397,13.5,4.29
Bourgogne-Franche-Comté,2798774.0,15616.0,557.948875791204,13.4,5.58
Auvergne-Rhône-Alpes,8103846.0,43140.0,532.3351257195977,13.3,5.32
Bretagne,3393650.0,12566.0,370.29095996948513,11.1,3.7
Pays de la Loire,3852877.0,15976.0,414.63957866321783,11.0,4.15
